Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.061989      +0.01%       220.25 ms/ev ->       234.34 ms/ev initialStepSeeds
   -0.060546      -0.00%        13.97 ms/ev ->        13.14 ms/ev caloTowerForTrk
   -0.059087      -0.01%       158.73 ms/ev ->       149.62 ms/ev hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3Hits
   -0.058797      -0.01%       158.76 ms/ev ->       149.69 ms/ev hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3Hits
   -0.058701      -0.01%       158.73 ms/ev ->       149.68 ms/ev hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3HitsdR03
   -0.058653      -0.01%       158.75 ms/ev ->       149.71 ms/ev hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3HitsdR03
   -0.058531      -0.01%       158.72 ms/ev ->       149.69 ms/ev hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr3Hits
   -0.058482      -0.02%       506.30 ms/ev ->       477.53 ms/ev lowPtTripletStepTrackCandidates
   -0.058467      -0.01%       158.73 ms/ev ->       149.71 ms/ev hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3Hits
   -0.057992      -0.01%       159.39 ms/ev ->       150.41 ms/ev hpsPFTauPUcorrPtSumdR03
   -0.057592      -0.01%       269.51 ms/ev ->       254.42 ms/ev detachedQuadStepTrackCandidates
   -0.057194      -0.01%       158.78 ms/ev ->       149.95 ms/ev hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3HitsdR03
   -0.057127      -0.01%       158.57 ms/ev ->       149.76 ms/ev hpsPFTauPUcorrPtSum
   -0.056227      -0.01%       157.78 ms/ev ->       149.15 ms/ev hpsPFTauDiscriminationByLooseChargedIsolation
   +0.056108      +0.00%        17.05 ms/ev ->        18.04 ms/ev lowPtTripletStepSeeds
   +0.055557      +0.01%       148.73 ms/ev ->       157.23 ms/ev cosmicsVeto
   -0.054936      -0.00%         6.13 ms/ev ->         5.81 ms/ev gedPhotonsTmp
   -0.053572      -0.01%       330.01 ms/ev ->       312.79 ms/ev generalV0Candidates
   -0.052956      -0.00%        31.64 ms/ev ->        30.00 ms/ev pfRecoTauTagInfoProducer
   -0.052320      -0.08%      1998.19 ms/ev ->      1896.31 ms/ev initialStepTrackCandidates
   -0.052277      -0.10%      2611.02 ms/ev ->      2478.00 ms/ev lowPtQuadStepTrackCandidates
   -0.052165      -0.02%       501.11 ms/ev ->       475.63 ms/ev pfNoPileUpJME
   -0.051661      -0.00%         7.49 ms/ev ->         7.11 ms/ev particleFlowEGamma
   -0.051366      -0.00%        10.87 ms/ev ->        10.33 ms/ev reducedEcalRecHitsEB
   -0.051259      -0.00%        61.60 ms/ev ->        58.52 ms/ev particleFlowTmpBarrel
   +0.050905      +0.00%       122.07 ms/ev ->       128.44 ms/ev inclusiveCandidateVertexFinder
   +0.050067      +0.00%       122.21 ms/ev ->       128.49 ms/ev inclusiveCandidateVertexFinderCvsL
  ---------- ------------     --------                  ----       ------------
Job total:  133.327 s/ev ==> 130.541 s/ev
